word,pos,definition
magbiyahe,,"(nagbibiyahe, nagbiyahe, magbibiyahe) v., inf. 1. take a trip, journey or voyage; 2. go on a business trip"
magbiyak,,"magbiyak (nagbibiyak, nagbiyak, magbibiyak) v., inf. cleave; cut or split open"
magbiyakrusis,,"(nagbibiyakrusis, nagbiyakrusis, magbibiyakrusis) v., inf. say the prayers of the Way of the Cross; make the Way of the Cross"
magbiyatiko,,"magbiyatiko (nagbibiyatiko, nagbiyatiko, magbibiyatiko) v., inf. administer viaticum"
magbiyaya,,"magbiyaya (nagbibiyaya, nagbiyaya, magbibiyaya) v., inf. bestow favours (US: favors) or graces on someone"
magbiyolin,,"magbiyolin (nagbibiyolin, nagbiyolin, magbibiyolin) v., inf. play the violin or fiddle"
magblangket,,"(nagbablangket, nagblangket, magbablangket) v., inf. use a blanket"
magblusa,,"(nagbublusa, nagblusa, magbublusa) v., inf. wear a blouse"
magboda-de-oro,,"(nagboboda-de-oro, nagboda-de-oro, magboboda-de-oro) v., inf. celebrate one's golden wedding"
magboda-de-plata,,"(nagboboda-de-plata, nagboda-de-plata, magboboda-de-plata) v., inf. celebrate one's silver wedding"
magboksing,,"(nagboboksing, nagboksing, magboboksing) v., inf. box; fight"
magbola,,"(nagbobola, nagbola, magbobola) v., inf. play a ball"
magbolibol,,"magbolibol (nagbobolibol, nagbolibol, magbobolibol) v., inf. play volleyball"
magboling,,"(nagboboling, nagboling, magboboling) v., inf. play bowling"
magboluntaryo,,"(nagboboluntaryo, nagboluntaryo, magboboluntaryo) v., inf. volunteer; offer one's service"
magbomba,,"(nagbobomba, nagbomba, magbobomba) v., inf. 1. bomb; 2. flush; 3. bombard; 4. pump"
magborador,,"magborador (nagboborador, nagborador, magboborador) v., inf. draw up a draft, rough copy, etc."
magborlas,,"(nagboborlas, nagborlas, magboborlas) v., inf. trim with flounce(s); put tassels on"
magbota,,"(nagbobota, nagbota, magbobota) v., inf. put on boots"
magbote,,"(nagbobote, nagbote, magbobote) v., inf. put into a bottle"
magbotika,,"(nagbobotika, nagbotika, magbobotika) v., inf. run a drugstore"
magbrodkast,,"(nagbobrodkast, nagbrodkast, magbobrodkast) v., inf. broadcast"
magbubo,,"magbubo (nagbububo, nagbubo, magbububo) v., inf. slop or spill (deliberately)"
magbubo,,"magbubo (nagbububo, nagbubo, magbububo) v., inf. smelt, cast or fuse"
magbubong,,"magbubong (nagbububong, nagbubong, magbububong) v., inf. roof; cover with a roof"
magbubukid,,magbubukid n. farmer
magbubulaklak,,magbubulaklak n. florist
magbubulong,,"magbubulong (nagbububulong, nagbubulong, magbububulong) v., inf. mutter; drone; mumble"
magbuburda,,magbuburda n. embroiderer
magbubusa,,"magbubusa (nagbububusa, nagbubusa, magbububusa) v., inf. get very angry and complain"
magbudbod,,"magbudbod (nagbubudbod, nagbudbod, magbubudbod) v., inf. strew; scatter"
magbuga,,"magbuga (nagbubuga, nagbuga, magbubuga) v., inf. 1. puff; 2. belch; expel; 3. disgorge; 4. emit; 5. spout"
magbugbugan,,"(nagbubugbugan, nagbugbugan, magbubugbugan) v., inf. 1. beat one another; 2. thrash"
magbugnos,,"magbugnos (nagbubugnos, nagbugnos, magbubugnos) v., inf. untie; loosen"
magbuhat,,"(nagbubuhat, nagbuhat, magbubuhat) v., inf. arise; originate"
magbuhat,,"magbuhat (nagbubuhat, nagbuhat, magbubuhat) v., inf. 1. lift; shift; 2. heave (with force)"
magbuhay,,"(nagbubuhay, nagbuhay, magbubuhay) v., inf. take care of (someone or something)"
magbuhay-mayaman,,"(nagbubuhay-mayaman, nagbuhay-mayaman, magbubuhay-mayaman) v., inf. live like a rich person"
magbuhol,,"magbuhol (nagbubuhol, nagbuhol, magbubuhol) v., inf. knot; tie in a knot; make a knot of a loose end"
magbuhong,,"magbuhong (nagbubuhong, nagbuhong, magbubuhong) v., inf. be rude or wicked; be cunning or deceitful"
magbuhos,,"(nagbubuhos, nagbuhos, magbubuhos) v., inf. douse; throw water on"
magbukadkad,,"magbukadkad (nagbubukadkad, nagbukadkad, magbubukadkad) v., inf. unfold; spread out"
magbukang-liwayway,,"magbukang-liwayway (nagbubukang-liwayway, nagbukang-liwayway, magbubukang-liwayway) v., inf. dawn"
magbukas,,"magbukas (nagbubukas, nagbukas, magbubukas) v., inf. 1. open; unfasten; 2. bare; 3. begin; start"
magbukayo,,"magbukayo (nagbubukayo, nagbukayo, magbubukayo) v., inf. make coconut caramel or toffee"
magbukid,,"(nagbubukid, nagbukid, magbubukid) v., inf. run a farm; cultivate land"
magbuklat,,"magbuklat (nagbubuklat, nagbuklat, magbubuklat) v., inf. open a book"
magbuklod,,"magbuklod (nagbubuklod, nagbuklod, magbubuklod) v., inf. 1. fasten together with a hoop; 2. unite [fig.]"
magbukod,,"magbukod (nagbubukod, nagbukod, magbubukod) v., inf. 1. set aside; 2. segregate; 3. sort"
magbukud-bukod,,"magbukud-bukod (nagbubukud-bukod, nagbukud-bukod, magbubukud-bukod) v., inf. sort out; classify"
magbula,,"magbula (nagbubula, nagbula, magbubula) v., inf. bubble much"
magbulaan,,"(nagbubulaan, nagbulaan, magbubulaan) v., inf. lie; fib"
magbulador,,"magbulador (nagbubulador, nagbulador, magbubulador) v., inf. fly a kite"
magbulag-bulagan,,"magbulag-bulagan (nagbubulag-bulagan, nagbulag-bulagan, magbubulag-bulagan) v., inf. pretend to be blind; wink at"
magbulagsak,,"magbulagsak (nagbubulagsak, nagbulagsak, magbubulagsak) v., inf. 1. lavish; waste; 2. place things in a disorderly manner"
magbulakbol,,"magbulakbol (nagbubulakbol, nagbulakbol, magbubulakbol) v., inf. 1. fail to go to school or work; 2. shirk"
magbulalas,,"magbulalas (nagbubulalas, nagbulalas, magbubulalas) v., inf. exclaim; vent; express freely"
magbulanglang,,"magbulanglang (nagbubulanglang, nagbulanglang, magbubulanglang) v., inf. make a stew of vegetables"
magbulay,,"(nagbubulay, nagbulay, magbubulay) v., inf. cut palm leaves into strips"
magbulaybulay,,"(nagbubulaybulay, nagbulaybulay, magbubulaybulay) v., inf. reflect on; meditate"
magbuli,,"(nagbubuli, nagbuli, magbubuli) v., inf. burnish; polish"
magbulid,,"magbulid (nagbubulid, nagbulid, magbubulid) v., inf. hurl from a height"
magbuling,,"(nagbubuling, nagbuling, magbubuling) v., inf. smudge; smear; tarnish"
magbulkanays,,"magbulkanays (nagbubulkanays, nagbulkanays, magbubulkanays) v., inf. vulcanize"
magbulong,,"magbulong (nagbubulong, nagbulong, magbubulong) v., inf. whisper"
magbulsa,,"magbulsa (nagbubulsa, nagbulsa, magbubulsa) v., inf. put in one's pocket; pocket"
magbululos,,"magbululos (nagbubululos, nagbululos, magbubululos) v., inf. have diarrhoea (US: diarrhea)"
magbulungan,,"magbulungan (nagbubulungan, nagbulungan, magbubulungan) v., inf. whisper to each other"
magbuluntad,,"magbuluntad (nagbubuluntad, nagbuluntad, magbubuluntad) v., inf. volunteer"
magbulusok,,"(nagbubulusok, nagbulusok, magbubulusok) v., inf. precipitate; fling (something) down from a height"
magbumabad,,"(nagbubumabad, nagbumabad, magbubumabad) v., inf. stay at a place without any intention of leaving"
magbunga,,"(nagbubunga, nagbunga, magbubunga) v., inf. produce fruit; bring forth crops; breed; produce results"
magbungad,,"(nagbubungad, nagbungad, magbubungad) v., inf. put in the front; put in a doorway, entrance, etc."
magbunganga,,"magbunganga (nagbubunganga, nagbunganga, magbubunganga) v., inf. shout in anger; boast; brag"
magbungkal,,"magbungkal (nagbubungkal, nagbungkal, magbubungkal) v., inf. cultivate; prepare the soil for growing"
magbungkos,,"magbungkos (nagbubungkos, nagbungkos, magbubungkos) v., inf. make a bunch of; bundle up"
magbuno,,"magbuno (nagbubuno, nagbuno, magbubuno) v., inf. wrestle; struggle; scuffle"
magbunot,,"(nagbubunot, nagbunot, magbubunot) v., inf. draw; pull out a gun or the like"
magbunot,,"magbunot (nagbubunot, nagbunot, magbubunot) v., inf. use a half coconut husk in polishing a floor, etc."
magbunsod,,"magbunsod (nagbubunsod, nagbunsod, magbubunsod) v., inf. 1. start; 2. launch a boat; 3. provoke; goad"
magbuntalan,,"(nagbubuntalan, nagbuntalan, magbubuntalan) v., inf. fight one another with the fists"
magbuntis,,"magbuntis (nagbubuntis, nagbuntis, magbubuntis) v., inf. become pregnant"
magbunton,,"magbunton (nagbubunton, nagbunton, magbubunton) v., inf. form into a heap; make into a pile"
magbuntot,,"magbuntot (nagbubuntot, nagbuntot, magbubuntot) v., inf. attach a tail to something"
magbuntung-hininga,,"magbuntung-hininga (nagbubuntung-hininga, nagbuntung-hininga, magbubuntung-hininga) v., inf. sigh; heave a sigh"
magbuntunghininga,,"magbuntunghininga (nagbubuntunghininga, nagbuntunghininga, magbubuntunghininga) v., inf. sigh; heave a sigh"
magbunyag,,"magbunyag (nagbubunyag, nagbunyag, magbubunyg) v., inf. 1. tell; reveal; expose; 2. divulge; 3. unbosom"
magbunyi,,"magbunyi (nagbubunyi, nagbunyi, magbubunyi) v., inf. acclaim; exalt; honour (US: honor) in public"
magbuo,,"magbuo (nagbubuo, nagbuo, magbubuo) v., inf. integrate; complement; assemble"
magbuod,,"magbuod (nagbubuod, nagbuod, magbubuod) v., inf. summarize"
magbupanda,,"(nagbubupanda, nagbupanda, magbubupanda) v., inf. wear a muffler, neckerchief, etc."
magbura,,"magbura (nagbubura, nagbura, magbubura) v., inf. erase; delete; efface"
magburador,,"magburador (nagbuburador, nagburador, magbuburador) v., inf. draft; write out a rough copy"
magburak,,"(nagbuburak, nagburak, magbuburak) v., inf. 1. wallow in mud or mire; 2. wallow in crime, vice, etc. [fig.]"
magburda,,"magburda (nagbuburda, nagburda, magbuburda) v., inf. embroider"
magburlas,,"(nagbuburlas, nagburlas, magbuburlas) v., inf. trim with frills, etc.; put tassels on"
magburles,,"magburles (nagbuburles, nagburles, magbuburles) v., inf. act in, or give a burlesque show; show oneself in the nude"
magburo,,"(nagbuburo, nagburo, magbuburo) v., inf. 1. preserve food by salting; 2. soak in vinegar, brine, etc."
magburol,,"(nagbuburol, nagburol, magbuburol) v., inf. get a body ready for burial"
magburubot,,"magburubot (nagbuburubot, nagburubot, magbuburubot) v., inf. have loose, liquid bowel movements"
magbus,,"(nagbubus, nagbus, magbubus) v., inf. travel by bus"
magbusa,,"magbusa (nagbubusa, nagbusa, magbubusa) v., inf. become angry"
magbusa,,"magbusa (nagbubusa, nagbusa, magbubusa) v., inf. toast or roast (maize/corn or rice)"
magbusal,,"magbusal (nagbubusal, nagbusal, magbubusal) v., inf. muzzle (an animal); muzzle a human to keep quiet (phys./fig.)"
magbuslog,,"magbuslog (nagbubuslog, nagbuslog, magbubuslog) v., inf. cock (a gun)"
magbutas,,"(nagbubutas, nagbutas, magbubutas) v., inf. pierce"
magbutones,,"(nagbubutones, nagbutones, magbubutones) v., inf. put buttons on"
magbuwag,,"magbuwag (nagbubuwag, nagbuwag, magbubuwag) v., inf. disband; dissolve an organization"
magbuwal,,"magbuwal (nagbubuwal, nagbuwal, magbubuwal) v., inf. topple down; overturn"
magbuyo,,"magbuyo (nagbubuyo, nagbuyo, magbubuyo) v., inf. motivate; incite; induce; seduce"
magdaan,,"magdaan (nagdadaan, nagdaan, magdadaan) v., inf. 1. pass; 2. drop in for a short visit"
magdabog,,"magdabog (nagdarabog (nagdadabog), nagdabog, magdarabog (magdadabog)) v., inf. stamp one's feet (in anger or vexation)"
magdadabog,,"magdadabog (nagdadadabog, nagdadabog, magdadadabog) v., inf. keep on stamping one's feet in anger, etc."
magdadaldal,,"magdadaldal (nagdadadaldal, nagdadaldal, magdadadaldal) v., inf. 1. gossip; tell tales or secrets; 2. jabber; chatter"
magdadamba,,"magdadamba (nagdadadamba, nagdadamba, magdadadamba) v., inf. keep rising on hind legs; cavort"
magdadamo,,magdadamo n. grass dealer
magdadarag,,"magdadarag (nagdadadarag, nagdadarag, magdadadarag) v., inf. keep on stamping the feet in anger"
magdagdag,,"magdagdag (nagdadagdag, nagdagdag, magdadagdag) v., inf. 1. enlarge; 2. augment; 3. swell; 4. supplement; complete; 5. throw in"
magdaglat,,"magdaglat (nagdadaglat, nagdaglat, magdadaglat) v., inf. make shorter; shorten"
magdagsaan,,"magdagsaan (nagdadagsaan, nagdagsaan, magdadagsaan) v., inf. go in large numbers; throng; crowd; cram"
magdagukan,,"magdagukan (nagdadagukan, nagdagukan, magdadagukan) v., inf. exchange blows with the fists"
magdahilan,,"magdahilan (nagdadahilan, nagdahilan, magdadahilan) v., inf. 1. make an excuse; 2. plead"
magdahon,,"(nagdadahon, nagdahon, magdadahon) v., inf. grow or sprout leaves"
magdahop,,"magdahop (nagdadahop, nagdahop, magdadahop) v., inf. be in want"
magdaig,,"(nagdadaig, nagdaig, magdadaig) v., inf. kindle; start flaming"
magdaing,,"(nagdadaing, nagdaing, magdadaing) v., inf. jerk fisk"
magdais,,"magdais (nagdadais (nagdarais), nagdais, magdadais (magdarais)) v., inf. move or sit close to someone"
magdait,,"magdait (nagdadait (nagdarait), nagdait, magdadait (magdarait)) v., inf. be very close to another"
magdaiti,,"(nagdadaiti, nagdaiti, magdadaiti) v., inf. put one thing against another"
magdako,,"(nagdadako, nagdako, magdadako) v., inf. turn or direct, e.g., one's eyes, attention, etc., to something"
magdala,,"magdala (nagdadala, nagdala, magdadala) v., inf. 1. convey; carry; bring; 2. uphold"
magdalaga,,"magdalaga (nagdadalaga, nagdalaga, magdadalaga) v., inf. grow into a teenage girl"
magdalamhati,,"magdalamhati (nagdaralamhati, nagdalamhati, magdaralamhati) v., inf. be in anguish"
magdalang-awa,,"magdalang-awa (nagdadalang-awa, nagdalang-awa, magdadalang-awa) v., inf. have compassion, pity or mercy on"
magdalang-gulat,,"magdalang-gulat (nagdadalang-gulat, nagdalang-gulat, magdadalang-gulat) v., inf. feel scared"
magdalang-hiya,,"magdalang-hiya (nagdadalang-hiya, nagdalang-hiya, magdadalang-hiya) v., inf. be ashamed of"
magdalang-tao,,"magdalang-tao (nagdadalang-tao, nagdalang-tao, magdadalang-tao) v., inf. become pregnant"
magdalas-dalas,,"magdalas-dalas (nagdadalas-dalas, nagdalas-dalas, magdadalas-dalas) v., inf. hurry up; make quicker"
magdalatan,,"(nagdadalatan, nagdalatan, magdadalatan) v., inf. cultivate a highland ricefield"
magdalawan,,"magdalawan (nagdadalawan, nagdalawan, magdadalawan) v., inf. visit one another"
magdaldal,,"magdaldal (nagdadaldal, nagdaldal, magdadaldal) v., inf. 1. gossip; tell tales or secrets; 2. jabber; chatter"
magdaldalan,,"magdaldalan (nagdadaldalan, nagdaldalan, magdadaldalan) v., inf. gossip, chatter or talk too much with others"
magdali-dali,,"magdali-dali (nagdadali-dali, nagdali-dali, magdadali-dali) v., inf. hurry; rush; dash; hasten"
magdalihan,,"magdalihan (nagdadalihan, nagdalihan, magdadalihan) v., inf. hit, attack or hurt one another"
magdalisay,,"(nagdadalisay, nagdalisay, magdadalisay) v., inf. distil (US: distill); make a liquid pure"
magdaluhungan,,"magdaluhungan (nagdadaluhungan, nagdaluhungan, magdadaluhungan) v., inf. 1. suddenly attack one another; 2. make a sudden forward movement"
magdama,,"(nagdadama, nagdama, magdadama) v., inf. play checkers"
magdamag,,magdamag adv. all night; overnight; during the night
magdamasko,,"(nagdadamasko (nagdaramasko), nagdamasko, magdadamasko (magdaramasko)) v., inf. drape"
magdambana,,"magdambana (nagdadambana (nagdarambana), nagdambana, magdadambana (magdarambana)) v., inf. enshrine; enclose in a shrine"
magdamdam,,"magdamdam (nagdadamdam, nagdamdam, magdadamdam) v., inf. feel hurt; be affected by; suffer moral pain"
magdamit,,"magdamit (nagdadamit, nagdamit, magdadamit) v., inf. 1. cloth; dress; 2. sell clothing (as a business)"
magdamo,,"magdamo (nagdadamo, nagdamo, magdadamo) v., inf. scatter around garbage like peelings, etc."
magdampi,,"magdampi (nagdadampi, nagdampi, magdadampi) v., inf. apply something gently and lightly"
magdanas,,"(nagdadanas, nagdanas, magdadanas) v., inf. experience; undergo; suffer"
magdantayan,,"magdantayan (nagdadantayan, nagdantayan, magdadantayan) v., inf. use a leg pillow; place a leg over each other (two persons)"
magdaong,,"magdaong (nagdadaong, nagdaong, magdadaong) v., inf. dock; bring a ship to dock"
magdaop,,"magdaop (nagdadaop, nagdaop, magdadaop) v., inf. clasp or join (esp. the hands)"
magdaos,,"(nagdadaos, nagdaos, magdadaos) v., inf. hold a meeting, celebration, etc.; celebrate"
magdarag,,"magdarag (nagdadarag, nagdarag, magdadarag) v., inf. 1. stamp the feet in anger; 2. speak in a rough manner"
magdaragat,,magdaragat n. seaman; sailor
magdaramit,,magdaramit n. clothier; dealer in clothes
magdarang,,"magdarang (nagdadarang, nagdarang, magdadarang) v., inf. expose to open fire; roast; make hot; singe"
magdarasal,,magdarasal n. one who prays for others if given an alms
magdaraya,,magdaraya adj. false; deceptive; treacherous; double-faced
magdasal,,"magdasal (nagdadasal (nagdarasal), nagdasal, magdadasal (magdarasal)) v., inf. pray; speak to God in worship"
magdatig,,"(nagdadatig (nagdaratig), nagdatig, magdadatig (magdaratig)) v., inf. provide with lining"
magdawdaw,,"magdawdaw (nagdarawdaw, nagdawdaw, magdarawdaw) v., inf. dip the finger into a liquid, etc."
magdawit,,"(nagdadawit (nagdarawit), nagdawit, magdadawit (magdarawit)) v., inf. 1. involve, implicate; 2. entangle"
magdaya,,"magdaya (nagdadaya (nagdaraya), nagdaya, magdadaya (magdaraya)) v., inf. cheat; betray; beguile; swindle"
magdayaan,,"magdayaan (nagdadayaan (nagdarayaan), nagdayaan, magdadayaan (magdarayaan)) v., inf. cheat each other"
magdayuhan,,"magdayuhan (nagdadayuhan (nagdarayuhan), nagdayuhan, magdadayuhan (nagdarayuhan)) v., inf. migrate in large numbers"
magdebate,,"(nagdedebate, nagdebate, magdedebate) v., inf. 1. contend; 2. disagree; 3. wrangle"
magdebosyon,,"magdebosyon (nagderebosyon, nagdebosyon, magderebosyon) v., inf. practice (US: practise) devotion or piety"
magdebu,,"magdebu (nagdedebu (nagderebu), nagdebu, magdedebu (magderebu)) v., inf. make one's debut"
magdeklama,,"magdeklama (nagdereklama, nagdeklama, magdereklama) v., inf. declaim"
magdekorasyon,,"magdekorasyon (nagdedekorasyon, nagdekorasyon, magdedekorasyon) v., inf. decorate"
magdemanda,,"(nagderemanda, nagdemanda, magderemanda) v., inf. file a complaint or lawsuit"
magdemandahan,,"magdemandahan (nagderemandahan, nagdemandahan, magderemandahan) v., inf. accuse one another in court"
magdenunsiya,,"magdenunsiya (nagderenunsiya, nagdenunsiya, magderenunsiya) v., inf. denounce; make a denunciation"
magdenunsiyahan,,"magdenunsiyahan (nagderenunsiyahan, nagdenunsiyahan, magderenunsiyahan) v., inf. denounce one another"
magdeposito,,"magdeposito (nagdereposito, nagdeposito, magdereposito) v., inf. 1. deposit (in a bank); 2. pay as a deposit"
magdeskarga,,"magdeskarga (nagdereskarga, nagdeskarga, magdereskarga) v., inf. unload"
magdestino,,"(nagderestino, nagdestino, magderestino) v., inf. assign; send to a place"
magdetalye,,"(nagderetalye, nagdetalye, magderetalye) v., inf. particularize; give details"
magdialogo,,"magdialogo (nagdirialogo, nagdialogo, magdirialogo) v., inf. hold a dialogue"
magdibelop,,"(nagdiribelop, nagdibelop, magdiribelop) v., inf. develop a film"
magdiborsiyo,,"magdiborsiyo (nagdiriborsiyo, nagdiborsiyo, magdiriborsiyo) v., inf. get divorced (mutual)"
magdibuho,,"(nagdiribuho, nagdibuho, magdiribuho) v., inf. draw; sketch"
magdidiga,,"magdidiga (nagdididiga, nagdidiga, magdididiga) v., inf. keep talking glibly"
magdidighal,,"magdidighal (nagdididighal, nagdidighal, magdididighal) v., inf. belch frequently"
magdieta,,"(nagdidieta (nagdirieta), nagdieta, magdidieta (magdirieta)) v., inf. diet; follow a diet"
magdigmaan,,"(nagdirigmaan, nagdigmaan, magdirigmaan) v., inf. wage war against each other"
magdiit,,"magdiit (nagdidiit (nagdiriit), nagdiit, magdidiit (magdiriit)) v., inf. touch each other or come into contact with"
magdikdik,,"magdikdik (nagdidikdik, nagdikdik, magdidikdik) v., inf. pulverize; grind; pound and crush; pummel [fig.]"
magdikit,,"magdikit (nagdidikit, nagdikit, magdidikit) v., inf. 1. stick things together with gum; 2. post a notice in a place"
magdikta,,"magdikta (nagdidikta, nagdikta, magdidikta) v., inf. dictate (to be written down)"
magdilidili,,"(nagdidilidili, nagdilidili, magdidilidili) v., inf. think; reflect; contemplate"
magdilig,,"magdilig (nagdirilig, nagdilig, magdirilig) v., inf. water; sprinkle and wet with water"
magdilim,,"magdilim (nagdirilim, nagdilim, magdirilim) v., inf. become dark or clouded"
magdiliryo,,"(nagdiriliryo, nagdiliryo, magdiriliryo) v., inf. be in a delirium"
magdimisyon,,"magdimisyon (nagdidimisyon (nagdirimisyon), nagdimisyon, magdidimisyon (magdirimisyon)) v., inf. resign"
magdimiti,,"magdimiti (nagdidimiti (nagdirimiti), nagdimiti, magdidimiti (magdirimiti)) v., inf. resign"
magdinamita,,"(nagdidinamita (nagdirinamita), nagdinamita, magdidinamita (magdirinamita)) v., inf. blow up with dynamite"
magdingas,,"(nagdidingas (nagdiringas), nagdingas, magdidingas (magdiringas)) v., inf. blaze; burn with a small flame"
magdingas sa galit,,"(nagdidingas (nagdiringas), nagdingas, magdidingas (magdiringas) (sa galit)) v., inf. blaze with anger [fig.]"
magdingding,,"magdingding (nagdidingding, nagdingding, magdidingding) v., inf. provide a house, etc. with partitions or walls"
magdirihi,,"magdirihi (nagdidirihi, nagdirihi, magdidirihi) v., inf. direct; show the way"
magdisidi,,"magdisidi (nagdidisidi, nagdisidi, magdidisidi) v., inf. decide; make up one's mind"
magdisimpekta,,"magdisimpekta (nagdirisimpekta, nagdisimpekta, magdirisimpekta) v., inf. disinfect"
magdisiplina,,"(nagdidisiplina, nagdisiplina, magdidisiplina) v., inf. discipline"
magdisisyon,,"magdisisyon (nagdidisisyon, nagdisisyon, magdidisisyon) v., inf. decide; come to a decision"
magdiskarga,,"magdiskarga (nagdidiskarga, nagdiskarga, magdidiskarga) v., inf. unload cargo"
magdiskargo,,"(nagdidiskargo, nagdiskargo, magdidiskargo) v., inf. ask an apology or excuse"
magdiskurso,,"(nagdidiskurso, nagdiskurso, magdidiskurso) v., inf. give a talk or speech"
magdiskuwento,,"(nagdidiskuwento, nagdiskuwento, magdidiskuwento) v., inf. discount"
magdistila,,"magdistila (nagdidistila (nagdiristila), nagdistila, magdidistila (magdiristila)) v., inf. distil (US: distill); make a liquid pure"
magdistiyero,,"(nagdiristiyero, nagdistiyero, magdiristiyero) v., inf. exile (someone)"
magdiwang,,"(nagdidiwang, nagdiwang, magdidiwang) v., inf. 1. celebrate an occasion; 2. show regard for; 3. triumph"
magdiyak,,"magdiyak (nagdidiyak, nagdiyak, magdidiyak) v., inf. jack up; lift up with a jack"
magdiyeta,,"(nagdidiyeta, nagdiyeta, magdidiyeta) v., inf. diet"
magdoble,,"(nagdodoble, nagdoble, magdodoble) v., inf. double; make twice as great"
magdoktor,,"magdoktor (nagdodoktor, nagdoktor, magdodoktor) v., inf. 1. study for a doctorate; 2. call a doctor (for treatment)"
magdonasyon,,"magdonasyon (nagdodonasyon, nagdonasyon, magdodonasyon) v., inf. give as donation; donate"
magdraga,,"(nagdadraga, nagdraga, magdadraga) v., inf. dredge"
magdribol,,"(nagdidribol, nagdribol, magdidribol) v., inf. dribble; move a ball along by bouncing"
magdril,,"magdril (nagdidril, nagdril, magdidril) v., inf. practise; rehearse"
magdrowing,,"(nagdodrowing, nagdrowing, magdodrowing) v., inf. draw; design; make a drawing"
magduda,,"(nagdududa, nagduda, magdududa) v., inf. doubt; be sceptical"
magdudungaw,,"magdudungaw (nagdudurungaw, nagdudungaw, magdudurungaw) v., inf. frequently look out of a window"
magduduwal,,"magduduwal (nagdududuwal, nagduduwal, magdududuwal) v., inf. retch; be nauseated"
magdueto,,"(nagdudueto, nagdueto, magdudueto) v., inf. sing or play a duet"
magdugo,,"magdugo (nagdurugo, nagdugo, magdurugo) v., inf. bleed"
magdugsong,,"magdugsong (nagdudugsong, nagdugsong, magdudugsong) v., inf. add something to another thing to make it longer"
magdugtong,,"magdugtong (nagdurugtong, nagdugtong, magdurugtong) v., inf. splice; join peaces of wood by overlapping"
magdukal,,"magdukal (nagdudukal (nagdurukal), nagdukal, magdudukal (magdurukal)) v., inf. dig or excavate; dig up (something)"
magduldol,,"magduldol (nagduduldol, nagduldol, magduduldol) v., inf. thrust something with force into something else"
magduling-dulingan,,"magduling-dulingan (nagduduling-dulingan, nagduling-dulingan, magduduling-dulingan) v., inf. pretend to be cross-eyed"
magdulo,,"(nagdudulo, nagdulo, magdudulo) v., inf. end; result in"
magdulok,,"magdulok (nagdudulok (nagdurulok), nagdulok, magdudulok (magdurulok)) v., inf. dig out an burn stumps, sticks or rubbish"
magdulot,,"(nagdudulot (nagdurulot), nagdulot, magdudulot (magdurulot)) v., inf. offer"
magdulot ng kahihiyan,,"magdulot ng kahihiyan (nagdurulot, nagdulot, magdurulot (ng kahihiyan)) v., inf. bring shame or disgrace upon"
magdumaldal,,"magdumaldal (nagdudumaldal, nagdumaldal, magdudumaldal) v., inf. 1. gossip; tell tales or secrets; 2. jabber; chatter"
magdumali,,"magdumali (nagdudumali, nagdumali, magdudumali) v., inf. hurry; rush; dash; hasten"
magdumami,,"(nagdudumami (nagdurumami), nagdumami, magdudumami (magdurumami)) v., inf. increase very much"
magdumi,,"magdumi (nagdudumi (nagdurumi), nagdumi, magdudumi (magdurumi)) v., inf. smirch; make dirty"
magdunung-dunungan,,"magdunung-dunungan (nagdudunung-dunungan, nagdunung-dunungan, magdudunung-dunungan) v., inf. engage in pedantry"
magdupong,,"(nagdurupong, nagdupong, magdurupong) v., inf. kindle a fire; add firewood to a fire"
magdurado,,"(nagdudurado, nagdurado, magdudurado) v., inf. gild"
magduro,,"magduro (nagduduro (nagdururo), nagduro, magduduro (magdururo)) v., inf. 1. prick; make a little hole; 2. put on a skewer"
magdurog,,"(nagdudurog, nagdurog, magdudurog) v., inf. 1. crush; 2. grind; pulverize; 4. pound; 5. steam-roller"
magdusa,,"(nagdudusa (nagdurusa), nagdusa, magdudusa (magdurusa)) v., inf. 1. suffer; 2. take the rap; pay the penalty"
magdutdot,,"magdutdot (nagdudutdot, nagdutdot, magdudutdot) v., inf. thrust; dab"
magduyan,,"(nagduduyan (nagduruyan), nagduyan, magduduyan (magduruyan)) v., inf. ride on a swing"
magentita,,n. magnetite (petro)
maggadgad,,"maggadgad (naggagadgad, naggadgad, maggagadgad) v., inf. 1. shell grains as from a corn cob; 2. cut off in thin slices"
maggagala,,"maggagala (naggagagala, naggagala, maggagagala) v., inf. wander around often or repeatedly"
maggagamas,,maggagamas n. person who does weeding
maggagasta,,"maggagasta (naggagagasta, naggagasta, maggagagasta) v., inf. spend much; spend often"
maggagatas,,maggagatas n. milkman; one who sells or delivers milk
maggagu-gaguhan,,"maggagu-gaguhan (naggagagu-gaguhan, naggagu-gaguhan, maggagagu-gaguhan) v., inf. prattle; talk in a foolish way"
maggala,,"maggala (naggagala, naggala, maggagala) v., inf. range; wander; rove"
maggalang,,"maggalang (naggagalang, naggalang, maggagalang) v., inf. wear a bracelet"
maggalapong,,"maggalapong (naggagalapong, naggalapong, maggagalapong) v., inf. grind into flour (rice)"
maggalbanisa,,"maggalbanisa (naggagalbanisa, naggalbanisa, maggagalbanisa) v., inf. galvanize"
maggalit-galitan,,"maggalit-galitan (naggagalit-galitan, naggalit-galitan, maggagalit-galitan) v., inf. pretend to be angry"
maggamas,,"(naggagamas, naggamas, maggagamas) v., inf. weed plants"
maggamot,,"maggamot (naggagamot, naggamot, maggagamot) v., inf. try to cure oneself"
